Period,Country,Sector,Subsector,Flow,Value,Marker
year/2018,croatia,audio-visual,audio-visual,exports,17.9772102210654,
year/2018,cyprus,dcms-sectors-exc-tourism-and-civil-society,creative-industries,exports,65.4211826426172,
year/2018,cyprus,dcms-sectors-exc-tourism-and-civil-society,cultural-sector,exports,8.657603423576,
year/2018,cyprus,dcms-sectors-exc-tourism-and-civil-society,digital-sector,exports,122.801358429381,
year/2018,cyprus,dcms-sectors-exc-tourism-and-civil-society,gambling,exports,0.0,suppressed
year/2018,cyprus,dcms-sectors-exc-tourism-and-civil-society,sport,exports,0.0,suppressed
year/2018,cyprus,dcms-sectors-exc-tourism-and-civil-society,telecoms,exports,42.4894978813453,
year/2018,cyprus,dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,exports,146.992459132876,
year/2018,cyprus,creative-industries,advertising-and-marketing,exports,7.21922843747,
year/2018,cyprus,creative-industries,architecture,exports,2.61024657534,
year/2018,cyprus,creative-industries,crafts,exports,0.0,suppressed
year/2018,cyprus,creative-industries,design-and-designer-fashion,exports,1.030571334513,
year/2018,cyprus,creative-industries,film-tv-radio-and-photography,exports,8.1037349642554,
year/2018,cyprus,creative-industries,it-software-and-computer-services,exports,38.2466069319406,
year/2018,cyprus,creative-industries,publishing,exports,7.6569259397776,
year/2018,cyprus,creative-industries,museums-galleries-and-libraries,exports,0.0,suppressed
year/2018,cyprus,creative-industries,music-performing-and-visual-arts,exports,0.5498684593206,
year/2018,cyprus,digital-sector,manufacturing-of-electronics-and-computers,exports,0.0,suppressed
year/2018,cyprus,digital-sector,wholesale-of-computers-and-electronics,exports,0.0,suppressed
year/2018,cyprus,digital-sector,publishing-excluding-translation-and-interpretation-activities,exports,7.1555426323849,
year/2018,cyprus,digital-sector,software-publishing,exports,0.121880821842,
year/2018,cyprus,digital-sector,film-tv-video-radio-and-music,exports,8.1804800622944,
year/2018,cyprus,digital-sector,telecommunications,exports,42.4894978813453,
year/2018,cyprus,digital-sector,computer-programming-consultancy-and-related-activities,exports,53.3489537373985,
year/2018,cyprus,digital-sector,information-service-activities,exports,7.3907058498937,
year/2018,cyprus,digital-sector,repair-of-computers-and-communication-equipment,exports,0.0,suppressed
year/2018,cyprus,cultural-sector,arts,exports,0.4731233612816,
year/2018,cyprus,cultural-sector,film-tv-and-music,exports,8.1194800622944,
